"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"112",17.307142,17.312857,16.485714,16.785715,430338300,15.047276
"113",16.742857,17.064285,16.631428,16.964285,243316500,15.207353
"114",17.231428,17.238571,17.122858,17.214285,202804700,15.431462
"115",17.611429,17.882856,17.505714,17.870001,227651200,16.019264
"116",17.812857,17.858572,17.558571,17.665714,235756500,15.836138
"117",17.695715,17.808571,17.357143,17.364286,224378000,15.565925
"118",17.385714,17.755714,17.245714,17.700001,216761300,15.866874
"119",17.692858,17.778572,17.482857,17.571428,157969000,15.751616
"120",17.741428,17.870001,17.294285,17.477142,241350900,15.667096
"121",17.711428,17.714285,16.959999,17.092857,336251300,15.322611
"122",17.23,17.434286,17.037144,17.412857,243674200,15.609463
"123",17.48,17.498571,17.142857,17.222857,209535900,15.439143
"124",17.424286,17.714285,17.298571,17.434286,284460400,15.628678
"125",17.292856,17.441429,17.042856,17.322857,248715600,15.528787
"126",17.428572,18.200001,17.357143,18.167143,290620400,16.285633
"127",18.4,18.995714,18.384285,18.964285,363262900,17.000221
"128",19.018572,19.048571,18.628571,18.9,218673700,16.942589
"129",18.911428,18.985714,18.454287,18.618572,248955000,16.690311
"130",18.411428,19.214285,18.401428,18.907143,313751900,16.948996
"131",18.867144,19.1,18.758572,18.912857,205443000,16.954121
"132",19.121429,19.177143,18.912857,19.152857,176152200,17.16926
"133",19.290001,19.692858,19.217142,19.675714,226901500,17.63797
"134",19.77,19.997143,19.642857,19.728571,234028200,17.685354
"135",19.757143,19.942858,19.642857,19.844286,177489900,17.789083
"136",19.741428,19.777143,19.434286,19.731428,189214200,17.687916
"137",20.042856,20.115715,19.950001,20,183222900,17.928667
"138",20.235714,20.597143,20,20.535715,291943400,18.408903
"139",20.472857,20.745714,20.132856,20.528572,259122500,18.402496
"140",19.84,20.142857,19.164286,19.27,448823200,17.274271
"141",19.621429,19.765715,19.285715,19.608572,374045700,17.577784
"142",20.844286,21.214285,19.565714,20.857143,546657300,18.697041
"143",20.884285,21.274286,20.540001,20.549999,290274600,18.421707
"144",20.618572,20.778572,19.938572,20.204287,276747100,18.111801
"145",20.424286,20.497143,18.788572,18.822857,440598200,16.873434
"146",19.091429,19.34,18.252857,19.285715,437539200,17.288361
"147",19.521429,19.565714,19.164286,19.498571,213161200,17.479176
"148",19.322857,19.421429,18.785715,18.835714,169796900,16.884966
"149",18.985714,19.324286,18.328571,19.321428,231292600,17.320368
"150",19.277143,19.605715,18.947144,19.290001,237484100,17.292204
"151",19.537144,19.551428,18.857143,19.144285,202024200,17.161585
"152",18.73,19,17.870001,18.055714,281348900,16.185745
"153",17.588572,18.25,17.185715,17.857143,352687300,16.007738
"154",18.331429,18.478571,18.071428,18.255714,188227900,16.365036
"155",18.327143,18.328571,17.672857,17.718571,184751700,15.88352
"156",17.534286,17.837143,17.092857,17.128571,248213000,15.354622
"157",16.715714,16.928572,15.945714,16.721428,466672500,14.989646
"158",17.43,17.642857,17.117144,17.437143,298765600,15.631235
"159",17.70857,17.785715,17.214285,17.459999,200829300,15.651728
"160",17.45857,18.422857,17.285715,18.224285,325761800,16.336861
"161",18.745714,18.964285,18.618572,18.93,265441400,16.969484
"162",19.012857,19.048571,18.537144,18.724285,216709500,16.785072
"163",18.647142,19.338572,18.544285,19.328571,227958500,17.326777
"164",19.055714,19.237143,18.871429,18.892857,176859900,16.936188
"165",18.712856,18.915714,18.09,18.117144,294841400,16.240812
"166",18.554285,19.168571,18.505714,19.154285,291715200,17.170538
"167",18.952858,19.75,18.9,19.464285,358895600,17.448439
"168",19.927143,19.950001,19.629999,19.782858,219221800,17.734016
