AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 144.00 (AAPL1826A144-A),31.49,0.0,25.30,29.20,0,11,18 Jan 144.00 (AAPL1826M144-A),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-B),0.0,0.0,25.00,29.60,0,11,18 Jan 144.00 (AAPL1826M144-B),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-E),30.05,0.0,26.20,28.50,0,11,18 Jan 144.00 (AAPL1826M144-E),0.08,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-I),0.0,0.0,25.25,29.55,0,11,18 Jan 144.00 (AAPL1826M144-I),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-J),0.0,0.0,25.25,29.55,0,11,18 Jan 144.00 (AAPL1826M144-J),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-K),0.0,0.0,25.25,29.55,0,11,18 Jan 144.00 (AAPL1826M144-K),0.0,0.0,0.0,2.13,0,85,
18 Jan 144.00 (AAPL1826A144-O),0.0,0.0,25.00,29.55,0,11,18 Jan 144.00 (AAPL1826M144-O),0.08,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-OG),0.0,0.0,24.60,29.60,0,11,18 Jan 144.00 (AAPL1826M144-OG),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-P),0.0,0.0,26.20,28.50,0,11,18 Jan 144.00 (AAPL1826M144-P),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-S),0.0,0.0,25.25,29.50,0,11,18 Jan 144.00 (AAPL1826M144-S),0.0,0.0,0.0,0.01,0,85,
18 Jan 144.00 (AAPL1826A144-X),31.37,0.0,25.25,29.55,0,11,18 Jan 144.00 (AAPL1826M144-X),0.04,0.0,0.0,0.06,0,85,
18 Jan 144.00 (AAPL1826A144-Y),0.0,0.0,26.20,28.50,0,11,18 Jan 144.00 (AAPL1826M144-Y),0.0,0.0,0.0,0.01,0,85,
18 Jan 145.00 (AAPL1826A145),26.50,-3.52,25.35,27.40,5,26,18 Jan 145.00 (AAPL1826M145),0.01,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-3),0.0,0.0,24.25,28.55,0,26,18 Jan 145.00 (AAPL1826M145-3),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-4),0.0,0.0,25.35,27.40,0,26,18 Jan 145.00 (AAPL1826M145-4),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-8),30.02,0.0,24.00,28.75,0,26,18 Jan 145.00 (AAPL1826M145-8),0.01,0.0,0.0,0.06,0,243,
18 Jan 145.00 (AAPL1826A145-A),0.0,0.0,24.50,27.95,0,26,18 Jan 145.00 (AAPL1826M145-A),0.05,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-B),0.0,0.0,24.00,28.75,0,26,18 Jan 145.00 (AAPL1826M145-B),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-E),33.52,0.0,25.35,27.40,0,26,18 Jan 145.00 (AAPL1826M145-E),0.03,0.0,0.0,0.06,0,243,
18 Jan 145.00 (AAPL1826A145-I),0.0,0.0,24.25,28.35,0,26,18 Jan 145.00 (AAPL1826M145-I),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-J),0.0,0.0,24.25,28.55,0,26,18 Jan 145.00 (AAPL1826M145-J),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-K),0.0,0.0,24.25,28.55,0,26,18 Jan 145.00 (AAPL1826M145-K),0.0,0.0,0.0,2.13,0,243,
18 Jan 145.00 (AAPL1826A145-O),26.50,0.0,24.00,28.70,5,26,18 Jan 145.00 (AAPL1826M145-O),0.03,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-OG),0.0,0.0,23.75,28.75,0,26,18 Jan 145.00 (AAPL1826M145-OG),0.0,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-P),0.0,0.0,25.35,27.40,0,26,18 Jan 145.00 (AAPL1826M145-P),0.04,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-S),0.0,0.0,24.25,28.35,0,26,18 Jan 145.00 (AAPL1826M145-S),0.23,0.0,0.0,0.01,0,243,
18 Jan 145.00 (AAPL1826A145-X),0.0,0.0,24.25,28.55,0,26,18 Jan 145.00 (AAPL1826M145-X),0.11,0.0,0.0,0.06,0,243,
18 Jan 145.00 (AAPL1826A145-Y),0.0,0.0,25.35,27.40,0,26,18 Jan 145.00 (AAPL1826M145-Y),0.03,0.0,0.0,0.01,0,243,
18 Jan 146.00 (AAPL1826A146),28.65,0.0,24.25,26.40,0,0,18 Jan 146.00 (AAPL1826M146),0.02,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-3),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-3),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-4),29.35,0.0,23.25,26.40,0,0,18 Jan 146.00 (AAPL1826M146-4),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-8),29.52,0.0,23.00,27.60,0,0,18 Jan 146.00 (AAPL1826M146-8),0.11,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-A),29.04,0.0,23.30,27.35,0,0,18 Jan 146.00 (AAPL1826M146-A),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-B),0.0,0.0,23.00,27.60,0,0,18 Jan 146.00 (AAPL1826M146-B),0.0,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-E),28.65,0.0,24.25,26.40,0,0,18 Jan 146.00 (AAPL1826M146-E),0.02,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-I),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-I),0.05,0.0,0.0,0.13,0,475,
